Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,rsi,macd,signal,Daily Return,Cumulative Return,Volatility,Upper Band,Lower Band,Position,Strategy Return,Cumulative Strategy Return,Cumulative Market Return
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2021-04-16,1234.0162353515625,1249.6037865960036,1227.498601955357,1244.2712179168109,10879878,,,,,0,-0.005144206965759346,0.9772956327068874,,,,0,-0.0,1.0,0.9772956327068874
2021-04-19,1242.037841796875,1257.6709025511411,1214.5088465690706,1221.482256331969,12508028,,,,,0,0.006500405922963637,0.9836484510262217,,,,0,0.0,1.0,0.9836484510262217
2021-04-20,1231.82861328125,1257.0331064521617,1223.6702485791636,1257.0331064521617,8560766,,,,,0,-0.008219740310693835,0.9755631162017698,,,,0,-0.0,1.0,0.9755631162017698
2021-04-22,1231.600830078125,1244.0891891056588,1226.1771272177741,1235.657312942474,6622446,,,,,0,-0.00018491468753778495,0.975382720252964,,,,0,-0.0,1.0,0.975382720252964
2021-04-23,1215.8309326171875,1229.1396005456634,1213.2785365657223,1224.2171860313788,7316262,,,27.636105004821147,,0,-0.012804390087928996,0.9628935394178197,,,,0,-0.0,1.0,0.9628935394178197
2021-04-26,1224.7186279296875,1231.7831726221118,1204.1630372506374,1214.4180214815758,7088606,,,33.57630294303348,,0,0.0073099763084398806,0.9699322683785139,,,,0,0.0,1.0,0.9699322683785139
2021-04-27,1229.23046875,1233.3324614154617,1221.619015725489,1226.9515839358546,3636115,,,36.429199072884714,,0,0.003683981542715209,0.9735054809529042,,,,0,0.0,1.0,0.9735054809529042
2021-04-28,1236.0675048828125,1239.257944607805,1225.675764666667,1237.890613297094,4879234,,,40.59308394153755,,0,0.005562045773047863,0.9789201629982772,,,,0,0.0,1.0,0.9789201629982772
2021-04-29,1236.3863525390625,1247.917533890746,1231.87420435843,1247.0059798119362,5412357,,,40.78786726466863,,0,0.00025795327115263333,0.9791726786565199,,,,0,0.0,1.0,0.9791726786565199
2021-04-30,1234.563232421875,1252.3841589994486,1226.860645040025,1227.225288922755,8354677,,,39.980666562024666,,0,-0.0014745553551634982,0.9777288343395771,,,,0,-0.0,1.0,0.9777288343395771
2021-05-03,1232.466796875,1240.6251617687767,1219.6594169335954,1222.2118129882265,4560337,,,39.02427380368825,,0,-0.0016981192148112223,0.9760685342191101,,,,0,-0.0,1.0,0.9760685342191101
